state,postal_code,web_id,inc,class,state_id,party,party_id,cand,cand_id,fund_weight,exp_weight,fund_pct,exp_pct,poll_weight,state_sim_weight,poll_pct,state_sim_pct,proj_vote,variance,index,win
Alabama,AL,alabama,,Class III,AL,R,REP,REP_CAND,REP_CAND,40.0,40.0,64.3,63.13,0.0,0.0,0.0,0.0,63.72,7.0,0.0,99.94
Alabama,AL,alabama,,Class III,AL,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,32.05,33.23,0.0,0.0,0.0,0.0,32.64,7.0,1.0,0.06
Alabama,AL,alabama,,Class III,AL,I,IND,IND_CAND,IND_CAND,40.0,40.0,1.82,1.82,0.0,0.0,0.0,0.0,1.82,7.0,2.0,0.0
Alaska,AK,alaska,yes,Class III,AK,R,REP,Lisa Murkowski,Lisa Murkowski,40.0,40.0,55.02,53.49,0.0,0.0,0.0,0.0,54.25,7.0,3.0,99.11
Alaska,AK,alaska,,Class III,AK,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,31.04,32.58,0.0,0.0,0.0,0.0,31.81,7.0,4.0,0.89
Alaska,AK,alaska,,Class III,AK,I,IND,IND_CAND,IND_CAND,40.0,40.0,6.97,6.97,0.0,0.0,0.0,0.0,6.97,7.0,5.0,0.0
Arizona,AZ,arizona,,Class III,AZ,R,REP,REP_CAND,REP_CAND,40.0,40.0,48.36,47.47,0.0,0.0,0.0,0.0,47.91,7.0,6.0,56.89
Arizona,AZ,arizona,yes,Class III,AZ,D,DEM,Mark Kelly,Mark Kelly,40.0,40.0,46.05,46.94,0.0,0.0,0.0,0.0,46.49,7.0,7.0,43.11
Arizona,AZ,arizona,,Class III,AZ,I,IND,IND_CAND,IND_CAND,40.0,40.0,2.8,2.8,0.0,0.0,0.0,0.0,2.8,7.0,8.0,0.0
Arkansas,AR,arkansas,yes,Class III,AR,R,REP,John Boozman,John Boozman,40.0,40.0,64.96,63.64,0.0,0.0,0.0,0.0,64.3,7.0,9.0,99.92
Arkansas,AR,arkansas,,Class III,AR,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,29.65,30.97,0.0,0.0,0.0,0.0,30.31,7.0,10.0,0.08
Arkansas,AR,arkansas,,Class III,AR,I,IND,IND_CAND,IND_CAND,40.0,40.0,2.7,2.7,0.0,0.0,0.0,0.0,2.7,7.0,11.0,0.0
California,CA,california,,Class III,CA,R,REP,REP_CAND,REP_CAND,40.0,40.0,-3211.61,-3212.85,0.0,0.0,0.0,0.0,-3212.23,7.0,12.0,0.52
California,CA,california,yes,Class III,CA,D,DEM,Alex Padilla,Alex Padilla,40.0,40.0,-3188.39,-3187.15,0.0,0.0,0.0,0.0,-3187.77,7.0,13.0,99.48
Colorado,CO,colorado,,Class III,CO,R,REP,REP_CAND,REP_CAND,40.0,40.0,43.9,40.03,0.0,0.0,0.0,0.0,41.96,7.0,14.0,15.26
Colorado,CO,colorado,yes,Class III,CO,D,DEM,Michael Bennet,Michael Bennet,40.0,40.0,48.91,52.78,0.0,0.0,0.0,0.0,50.84,7.0,15.0,84.74
Colorado,CO,colorado,,Class III,CO,I,IND,IND_CAND,IND_CAND,40.0,40.0,3.6,3.6,0.0,0.0,0.0,0.0,3.6,7.0,16.0,0.0
Connecticut,CT,connecticut,,Class III,CT,R,REP,REP_CAND,REP_CAND,40.0,40.0,38.66,37.33,0.0,0.0,0.0,0.0,37.99,7.0,17.0,2.49
Connecticut,CT,connecticut,yes,Class III,CT,D,DEM,Richard Blumenthal,Richard Blumenthal,40.0,40.0,55.99,57.33,0.0,0.0,0.0,0.0,56.66,7.0,18.0,97.51
Connecticut,CT,connecticut,,Class III,CT,I,IND,IND_CAND,IND_CAND,40.0,40.0,2.67,2.67,0.0,0.0,0.0,0.0,2.67,7.0,19.0,0.0
Florida,FL,florida,yes,Class III,FL,R,REP,Marco Rubio,Marco Rubio,40.0,40.0,54.2,53.69,0.0,0.0,0.0,0.0,53.95,7.0,20.0,90.1
Florida,FL,florida,,Class III,FL,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,42.71,43.21,0.0,0.0,0.0,0.0,42.96,7.0,21.0,9.9
Florida,FL,florida,,Class III,FL,I,IND,IND_CAND,IND_CAND,40.0,40.0,1.55,1.55,0.0,0.0,0.0,0.0,1.55,7.0,22.0,0.0
Georgia,GA,georgia,,Class III,GA,R,REP,REP_CAND,REP_CAND,40.0,40.0,50.27,48.68,0.0,0.0,0.0,0.0,49.48,7.0,23.0,58.32
Georgia,GA,georgia,yes,Class III,GA,D,DEM,Raphael Warnock,Raphael Warnock,40.0,40.0,47.09,48.68,0.0,0.0,0.0,0.0,47.89,7.0,24.0,41.68
Georgia,GA,georgia,,Class III,GA,I,IND,IND_CAND,IND_CAND,40.0,40.0,1.32,1.32,0.0,0.0,0.0,0.0,1.32,7.0,25.0,0.0
Hawaii,HI,hawaii,,Class III,HI,R,REP,REP_CAND,REP_CAND,40.0,40.0,30.09,28.68,0.0,0.0,0.0,0.0,29.39,7.0,26.0,0.06
Hawaii,HI,hawaii,yes,Class III,HI,D,DEM,Brian Schatz,Brian Schatz,40.0,40.0,63.71,65.13,0.0,0.0,0.0,0.0,64.42,7.0,27.0,99.94
Hawaii,HI,hawaii,,Class III,HI,I,IND,IND_CAND,IND_CAND,40.0,40.0,3.1,3.1,0.0,0.0,0.0,0.0,3.1,7.0,28.0,0.0
Idaho,ID,idaho,yes,Class III,ID,R,REP,Mike Crapo,Mike Crapo,40.0,40.0,67.21,65.73,0.0,0.0,0.0,0.0,66.47,7.0,29.0,100.0
Idaho,ID,idaho,,Class III,ID,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,24.84,26.32,0.0,0.0,0.0,0.0,25.58,7.0,30.0,0.0
Idaho,ID,idaho,,Class III,ID,I,IND,IND_CAND,IND_CAND,40.0,40.0,3.97,3.97,0.0,0.0,0.0,0.0,3.97,7.0,31.0,0.0
Illinois,IL,illinois,,Class III,IL,R,REP,REP_CAND,REP_CAND,40.0,40.0,41.43,37.9,0.0,0.0,0.0,0.0,39.66,7.0,32.0,3.81
Illinois,IL,illinois,,Class III,IL,D,DEM,Tammy Duckworth,Tammy Duckworth,40.0,40.0,54.37,57.9,0.0,0.0,0.0,0.0,56.13,7.0,33.0,96.19
Illinois,IL,illinois,,Class III,IL,I,IND,IND_CAND,IND_CAND,40.0,40.0,2.1,2.1,0.0,0.0,0.0,0.0,2.1,7.0,34.0,0.0
Indiana,IN,indiana,yes,Class III,IN,R,REP,Todd Young,Todd Young,40.0,40.0,59.89,58.58,0.0,0.0,0.0,0.0,59.23,7.0,35.0,99.16
Indiana,IN,indiana,,Class III,IN,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,36.01,37.32,0.0,0.0,0.0,0.0,36.66,7.0,36.0,0.84
Indiana,IN,indiana,,Class III,IN,I,IND,IND_CAND,IND_CAND,40.0,40.0,2.05,2.05,0.0,0.0,0.0,0.0,2.05,7.0,37.0,0.0
Iowa,IA,iowa,yes,Class III,IA,R,REP,Chuck Grassley,Chuck Grassley,40.0,40.0,58.12,57.28,0.0,0.0,0.0,0.0,57.7,7.0,38.0,98.59
Iowa,IA,iowa,,Class III,IA,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,36.43,37.28,0.0,0.0,0.0,0.0,36.86,7.0,39.0,1.41
Iowa,IA,iowa,,Class III,IA,I,IND,IND_CAND,IND_CAND,40.0,40.0,2.72,2.72,0.0,0.0,0.0,0.0,2.72,7.0,40.0,0.0
Kansas,KS,kansas,yes,Class III,KS,R,REP,Jerry Moran,Jerry Moran,40.0,40.0,61.02,59.7,0.0,0.0,0.0,0.0,60.36,7.0,41.0,99.61
Kansas,KS,kansas,,Class III,KS,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,32.54,33.86,0.0,0.0,0.0,0.0,33.2,7.0,42.0,0.39
Kansas,KS,kansas,,Class III,KS,I,IND,IND_CAND,IND_CAND,40.0,40.0,3.22,3.22,0.0,0.0,0.0,0.0,3.22,7.0,43.0,0.0
Kentucky,KY,kentucky,yes,Class III,KY,R,REP,Rand Paul,Rand Paul,40.0,40.0,64.15,62.91,0.0,0.0,0.0,0.0,63.53,7.0,44.0,99.84
Kentucky,KY,kentucky,,Class III,KY,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,32.01,33.25,0.0,0.0,0.0,0.0,32.63,7.0,45.0,0.16
Kentucky,KY,kentucky,,Class III,KY,I,IND,IND_CAND,IND_CAND,40.0,40.0,1.92,1.92,0.0,0.0,0.0,0.0,1.92,7.0,46.0,0.0
Louisiana,LA,louisiana,yes,Class III,LA,R,REP,John Kennedy,John Kennedy,40.0,40.0,61.77,60.5,0.0,0.0,0.0,0.0,61.14,7.0,47.0,99.58
Louisiana,LA,louisiana,,Class III,LA,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,33.59,34.86,0.0,0.0,0.0,0.0,34.23,7.0,48.0,0.42
Louisiana,LA,louisiana,,Class III,LA,I,IND,IND_CAND,IND_CAND,40.0,40.0,2.32,2.32,0.0,0.0,0.0,0.0,2.32,7.0,49.0,0.0
Maryland,MD,maryland,,Class III,MD,R,REP,REP_CAND,REP_CAND,40.0,40.0,34.62,33.35,0.0,0.0,0.0,0.0,33.98,7.0,50.0,0.25
Maryland,MD,maryland,yes,Class III,MD,D,DEM,Chris Van Hollen,Chris Van Hollen,40.0,40.0,61.03,62.3,0.0,0.0,0.0,0.0,61.66,7.0,51.0,99.75
Maryland,MD,maryland,,Class III,MD,I,IND,IND_CAND,IND_CAND,40.0,40.0,2.17,2.17,0.0,0.0,0.0,0.0,2.17,7.0,52.0,0.0
Missouri,MO,missouri,,Class III,MO,R,REP,REP_CAND,REP_CAND,40.0,40.0,59.48,58.23,0.0,0.0,0.0,0.0,58.85,7.0,53.0,98.77
Missouri,MO,missouri,,Class III,MO,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,36.87,38.13,0.0,0.0,0.0,0.0,37.5,7.0,54.0,1.23
Missouri,MO,missouri,,Class III,MO,I,IND,IND_CAND,IND_CAND,40.0,40.0,1.82,1.82,0.0,0.0,0.0,0.0,1.82,7.0,55.0,0.0
Nevada,NV,nevada,,Class III,NV,R,REP,REP_CAND,REP_CAND,40.0,40.0,47.14,46.7,0.0,0.0,0.0,0.0,46.92,7.0,56.0,52.75
Nevada,NV,nevada,yes,Class III,NV,D,DEM,Catherine Cortez Mastro,Catherine Cortez Mastro,40.0,40.0,46.27,46.7,0.0,0.0,0.0,0.0,46.48,7.0,57.0,47.25
Nevada,NV,nevada,,Class III,NV,I,IND,IND_CAND,IND_CAND,40.0,40.0,3.3,3.3,0.0,0.0,0.0,0.0,3.3,7.0,58.0,0.0
New Hampshire,NH,new-hampshire,,Class III,NH,R,REP,REP_CAND,REP_CAND,40.0,40.0,46.65,45.81,0.0,0.0,0.0,0.0,46.23,7.0,59.0,39.71
New Hampshire,NH,new-hampshire,yes,Class III,NH,D,DEM,Maggie Hassan,Maggie Hassan,40.0,40.0,48.06,48.9,0.0,0.0,0.0,0.0,48.48,7.0,60.0,60.29
New Hampshire,NH,new-hampshire,,Class III,NH,I,IND,IND_CAND,IND_CAND,40.0,40.0,2.65,2.65,0.0,0.0,0.0,0.0,2.65,7.0,61.0,0.0
