state,postal_code,web_id,class,state_id,inc,inc_party,state_pvi,elasticity,third_index,terms,prev_margin,beat_inc,prev_inc,adj_prev_margin,pvi_&_prev,vs_pvi,population,diversity_index,term_adj,oth_adj,inc_bump,neutral_margin,cnalysis,cook,inside,sabato,rep_nominee,dem_nominee,rep_nom_id,dem_nom_id,,
Alabama,AL,alabama,Class III,AL,OPEN,R,29.9,0.89,0.73,-,-,0,0,-,29.9,0.0,"4,887,871",0.443,-,,0.00,29.90,Solid R,Solid R,Solid R,Solid R,REP_CAND,DEM_CAND,REP_CAND,DEM_CAND,,
Alaska,AK,alaska,Class III,AK,Lisa Murkowski,R,15.2,1.16,2.79,2004,14.8,0,-1.5,15.3,15.2,0.0,"737,438",0.521,0.949,,5.69,20.91,Solid R,Solid R,Solid R,Solid R,Lisa Murkowski,DEM_CAND,Lisa Murkowski,DEM_CAND,,
Arizona,AZ,arizona,Class III,AZ,Mark Kelly,D,4.6,1.05,1.12,2020,-2.4,0,0,-0.4,3.4,-1.3,"7,171,646",0.155,0.316,2,3.81,-0.46,Tilt R,Tossup,Tossup,Tossup,REP_CAND,Mark Kelly,REP_CAND,Mark Kelly,,
Arkansas,AR,arkansas,Class III,AR,John Boozman,R,31.2,1,1.08,2010,23.6,0,-1.5,24.1,29.4,-1.8,"3,013,825",0.336,0.775,,3.25,32.67,Solid R,Solid R,Solid R,Solid R,John Boozman,DEM_CAND,John Boozman,DEM_CAND,,
California,CA,california,Class III,CA,Alex Padilla,D,-25.7,0.94,1.30,-,-,0,0,-,-25.7,0.0,"39,557,045",0.184,-,,0.00,-25.70,Solid D,Solid D,Solid D,Solid D,REP_CAND,Alex Padilla,REP_CAND,Alex Padilla,,
Colorado,CO,colorado,Class III,CO,Michael Bennet,D,-7.1,1.07,1.44,2009,-3.7,0,1.5,-0.2,-5.4,1.7,"5,695,564",0.159,0.806,,2.46,-7.83,Likely D,Likely D,Solid D,Likely D,REP_CAND,Michael Bennet,REP_CAND,Michael Bennet,,
Connecticut,CT,connecticut,Class III,CT,Richard Blumenthal,D,-14.4,0.99,1.07,2010,-28,0,1.5,-24.5,-16.9,-2.5,"3,572,665",0.292,0.775,,3.02,-19.95,Solid D,Solid D,Solid D,Solid D,REP_CAND,Richard Blumenthal,REP_CAND,Richard Blumenthal,,
Florida,FL,florida,Class III,FL,Marco Rubio,R,6.5,1.03,0.62,2010,7.7,0,-1.5,8.2,6.9,0.4,"21,670,000",0.260,0.775,,1.84,8.77,Solid R,Lean R,Likely R,Likely R,Marco Rubio,DEM_CAND,Marco Rubio,DEM_CAND,,
Georgia,GA,georgia,Class III,GA,Raphael Warnock,D,5.2,0.9,0.53,2021,-2,-1,0,-1,3.7,-1.6,"10,519,475",0.505,0.224,1.00,2.85,0.80,Tossup,Tossup,Tossup,Tossup,REP_CAND,Raphael Warnock,REP_CAND,Raphael Warnock,,
Hawaii,HI,hawaii,Class III,HI,Brian Schatz,D,-26.5,1.07,1.24,2012,-51.4,0,1.5,-47.9,-31.9,-5.4,"1,420,491",0.725,0.707,,4.60,-36.45,Solid D,Solid D,Solid D,Solid D,REP_CAND,Brian Schatz,REP_CAND,Brian Schatz,,
Idaho,ID,idaho,Class III,ID,Mike Crapo,R,34.9,1.12,1.59,1998,38.3,0,-1.5,38.8,35.9,1.0,"1,754,208",0.106,1.095,,3.53,39.41,Solid R,Solid R,Solid R,Solid R,Mike Crapo,DEM_CAND,Mike Crapo,DEM_CAND,,
Illinois,IL,illinois,Class III,IL,Tammy Duckworth,D,-13.2,1.01,0.84,2016,-15.1,-2,0,-15.1,-13.7,-0.5,"12,741,080",0.329,0.548,,1.93,-15.61,Solid D,Solid D,Solid D,Solid D,REP_CAND,Tammy Duckworth,REP_CAND,Tammy Duckworth,,
Indiana,IN,indiana,Class III,IN,Todd Young,R,20.8,0.99,0.82,2016,9.7,2,0,13.7,19.0,-1.8,"6,691,878",0.248,0.548,,2.24,21.26,Solid R,Solid R,Solid R,Solid R,Todd Young,DEM_CAND,Todd Young,DEM_CAND,,
Iowa,IA,iowa,Class III,IA,Chuck Grassley,R,12.3,1.04,1.09,1980,24.3,0,-1.5,24.8,15.4,3.1,"3,156,145",0.151,1.449,,3.52,18.94,Solid R,Solid R,Solid R,Solid R,Chuck Grassley,DEM_CAND,Chuck Grassley,DEM_CAND,,
