pollster,grade,population,end_date,yes,sample_size,no,pollster_rating_id
Ipsos,1.05,a,2022-05-10,42.39,1005.0,50.39,154
YouGov,0.93,rv,2022-05-10,42.0,1361.0,51.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-10,40.0,1500.0,59.0,277
Morning Consult,1.0,rv,2022-05-09,42.0,2005.0,55.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-09,41.0,1500.0,57.0,277
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-08,43.0,1500.0,55.0,277
TIPP,1.3,a,2022-05-06,39.0,1320.0,47.0,144
Engine Insights,1.0,rv,2022-05-06,43.6,833.0,52.6,37
YouGov,0.93,rv,2022-05-06,43.0,1215.0,54.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-05,45.0,1500.0,53.0,277
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-04,43.0,1500.0,55.0,277
Morning Consult,1.0,rv,2022-05-03,44.0,1955.0,54.0,218
Ipsos,1.05,a,2022-05-03,44.35,1005.0,49.6,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-03,42.0,1500.0,56.0,277
YouGov,0.93,rv,2022-05-03,46.0,1303.0,50.0,391
Morning Consult,1.0,a,2022-05-03,41.0,2210.0,54.0,218
Morning Consult,1.0,a,2022-05-03,41.0,45000.0,51.0,218
Morning Consult,1.0,rv,2022-05-02,41.0,2000.0,55.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-02,43.0,1500.0,55.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2022-05-02,42.0,999.0,55.0,413
Morning Consult,1.0,a,2022-05-02,41.0,45000.0,51.0,218
Redfield & Wilton Strategies,0.3,rv,2022-05-01,39.0,1500.0,47.0,562
Léger,0.9,a,2022-05-01,43.0,1005.0,55.0,572
Beacon Research/Shaw & Company,1.0,rv,2022-05-01,45.0,1003.0,53.0,103
SSRS,0.65,rv,2022-05-01,41.0,806.0,59.0,297
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-01,44.0,1500.0,54.0,277
Morning Consult,1.0,a,2022-05-01,41.0,45000.0,51.0,218
Morning Consult,1.0,a,2022-04-30,41.0,45000.0,51.0,218
Fairleigh Dickinson,0.9,a,2022-04-29,38.0,1021.0,49.0,92
Morning Consult,1.0,a,2022-04-29,40.0,45000.0,51.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-28,42.0,1500.0,55.0,277
ABC/Washington Post,1.2,rv,2022-04-28,42.0,907.0,52.0,3
Morning Consult,1.0,a,2022-04-28,40.0,45000.0,51.0,218
YouGov,0.93,rv,2022-04-27,43.0,1336.0,51.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-27,42.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-04-27,40.0,45000.0,51.0,218
Susquehanna,0.93,lv,2022-04-27,39.0,800.0,54.0,326
Ipsos,1.05,a,2022-04-26,42.15,1005.0,53.47,154
Emerson College Polling Society,1.05,rv,2022-04-26,41.7,1000.0,49.7,88
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-26,41.0,1500.0,58.0,277
McLaughlin,0.4,lv,2022-04-26,41.0,1000.0,57.0,203
Morning Consult,1.0,a,2022-04-26,40.0,45000.0,51.0,218
Marist,1.0,rv,2022-04-26,42.0,1162.0,53.0,183
Morning Consult,1.0,rv,2022-04-25,42.0,2004.0,55.0,218
Morning Consult,1.0,rv,2022-04-25,42.0,2004.0,55.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-25,41.0,1500.0,58.0,277
Quinnipiac,1.0,rv,2022-04-25,40.0,1409.0,51.0,267
Morning Consult,1.0,a,2022-04-25,40.0,45000.0,51.0,218
