date,yes,no,margin,weight
2021-01-21,51.34,34.1,17.24,148.18
2021-01-22,53.3,35.61,17.69,151.91
2021-01-23,53.6,35.02,18.58,165.73
2021-01-24,54.3,35.61,18.68,198.75
2021-01-25,54.99,34.62,20.38,283.94
2021-01-26,55.15,35.53,19.61,280.45
2021-01-27,54.63,35.99,18.64,281.99
2021-01-28,54.96,35.07,19.9,333.71
2021-01-29,55.08,35.24,19.84,347.66
2021-01-30,55.2,35.2,20.0,396.2
2021-01-31,54.96,35.66,19.3,344.89
2021-02-01,55.36,35.9,19.46,470.23
2021-02-02,54.86,36.36,18.5,422.14
2021-02-03,54.65,36.55,18.1,439.3
2021-02-04,54.37,36.81,17.55,435.77
2021-02-05,54.36,36.83,17.53,431.46
2021-02-06,54.47,36.68,17.79,427.43
2021-02-07,54.93,36.44,18.49,454.38
2021-02-08,55.36,36.4,18.95,414.44
2021-02-09,54.85,36.69,18.16,412.7
2021-02-10,54.75,36.77,17.98,405.96
2021-02-11,54.95,36.61,18.34,397.55
2021-02-12,54.96,36.65,18.3,388.06
2021-02-13,54.79,36.94,17.84,378.71
2021-02-14,55.0,36.84,18.16,378.04
2021-02-15,55.78,36.67,19.11,499.99
2021-02-16,55.01,37.57,17.45,373.95
2021-02-17,55.0,37.84,17.17,363.22
2021-02-18,54.51,38.62,15.89,373.16
2021-02-19,54.5,38.7,15.8,363.89
2021-02-20,54.66,38.65,16.01,375.27
2021-02-21,55.09,38.59,16.5,416.89
2021-02-22,54.72,38.65,16.06,436.9
2021-02-23,53.92,38.87,15.05,469.08
2021-02-24,53.83,38.8,15.03,466.69
2021-02-25,54.25,38.99,15.26,492.75
2021-02-26,54.24,39.12,15.12,491.55
2021-02-27,53.88,39.17,14.71,540.53
2021-02-28,53.72,39.11,14.61,566.84
2021-03-01,53.89,39.24,14.65,650.89
2021-03-02,53.8,39.59,14.21,568.38
2021-03-03,53.72,39.68,14.04,560.84
2021-03-04,53.77,39.65,14.11,553.48
2021-03-05,53.76,39.67,14.1,544.35
2021-03-06,53.71,39.63,14.08,535.34
2021-03-07,53.74,39.74,14.0,567.6
2021-03-08,54.16,39.48,14.69,644.31
2021-03-09,53.72,39.82,13.9,576.81
2021-03-10,54.01,39.72,14.29,557.81
2021-03-11,53.94,39.91,14.03,545.0
2021-03-12,53.93,39.94,13.99,530.4
2021-03-13,54.3,39.73,14.57,520.12
2021-03-14,54.46,39.61,14.86,505.9
2021-03-15,54.88,39.47,15.41,539.88
2021-03-16,54.42,39.9,14.52,515.24
2021-03-17,54.03,40.16,13.87,502.13
2021-03-18,54.33,40.12,14.21,487.08
2021-03-19,54.63,39.8,14.83,495.75
2021-03-20,54.71,39.84,14.87,470.55
2021-03-21,54.27,40.19,14.08,474.76
2021-03-22,54.93,39.58,15.36,580.6
2021-03-23,54.1,40.3,13.81,461.58
2021-03-24,54.03,40.41,13.62,448.34
2021-03-25,54.59,40.17,14.42,465.53
2021-03-26,54.86,39.84,15.02,520.54
2021-03-27,54.67,40.2,14.46,460.91
2021-03-28,54.83,39.92,14.91,475.82
2021-03-29,54.91,40.08,14.84,530.57
2021-03-30,54.61,40.52,14.09,470.45
2021-03-31,54.53,40.62,13.91,461.32
2021-04-01,54.56,40.64,13.92,452.97
2021-04-02,54.81,40.19,14.62,493.01
2021-04-03,54.88,40.25,14.64,464.77
2021-04-04,55.07,40.07,14.99,512.12
2021-04-05,54.94,40.34,14.6,451.63
2021-04-06,55.23,40.2,15.02,442.24
2021-04-07,55.42,40.02,15.39,431.49
2021-04-08,55.46,39.64,15.82,416.52
2021-04-09,55.46,39.64,15.82,404.95
2021-04-10,55.46,39.64,15.82,392.99
2021-04-11,55.13,39.47,15.66,445.88
2021-04-12,54.84,39.87,14.96,533.6
2021-04-13,54.53,40.33,14.2,522.74
2021-04-14,54.44,40.41,14.03,512.68
2021-04-15,54.24,40.52,13.72,503.43
2021-04-16,54.33,40.6,13.73,529.79
2021-04-17,54.24,40.63,13.61,519.35
2021-04-18,54.34,40.65,13.69,524.69
2021-04-19,54.82,40.18,14.64,596.78
2021-04-20,54.31,41.0,13.31,552.0
2021-04-21,54.4,41.28,13.12,614.85
2021-04-22,54.61,40.87,13.73,594.95
2021-04-23,54.48,41.26,13.22,572.72
2021-04-24,54.72,41.23,13.48,568.37
2021-04-25,54.61,41.04,13.58,625.66
2021-04-26,54.79,41.08,13.71,654.0
2021-04-27,54.08,41.31,12.78,603.54
2021-04-28,54.17,41.24,12.93,592.64
2021-04-29,54.36,41.34,13.02,600.28
2021-04-30,54.32,41.11,13.21,612.41
2021-05-01,54.37,41.1,13.27,600.11
2021-05-02,54.41,40.77,13.64,636.97
2021-05-03,54.91,40.51,14.41,642.88
2021-05-04,54.48,41.06,13.42,567.42
2021-05-05,54.56,41.05,13.51,553.26
2021-05-06,54.15,41.41,12.74,609.44
2021-05-07,54.03,41.47,12.56,572.34
2021-05-08,53.98,41.46,12.52,556.28
2021-05-09,54.04,41.24,12.8,608.58
2021-05-10,53.96,41.34,12.61,539.95
2021-05-11,53.74,41.54,12.19,542.32
2021-05-12,53.91,41.41,12.5,527.88
2021-05-13,53.64,41.39,12.25,507.77
2021-05-14,53.61,41.39,12.21,492.3
2021-05-15,53.8,41.13,12.67,526.34
2021-05-16,53.82,40.98,12.84,486.58
2021-05-17,53.81,41.15,12.66,518.88
2021-05-18,53.81,41.5,12.31,481.63
2021-05-19,54.17,41.15,13.02,505.09
2021-05-20,55.1,40.71,14.39,575.16
2021-05-21,54.9,40.86,14.04,532.39
2021-05-22,54.98,40.76,14.21,546.36
2021-05-23,55.07,40.63,14.44,514.36
2021-05-24,54.71,40.82,13.88,591.0
2021-05-25,54.83,40.75,14.08,547.16
2021-05-26,54.48,40.88,13.61,551.14
2021-05-27,54.8,40.68,14.12,573.35
2021-05-28,55.06,40.24,14.82,587.72
2021-05-29,55.12,40.07,15.05,601.78
2021-05-30,54.96,40.32,14.64,566.22
2021-05-31,54.98,40.29,14.68,554.52
2021-06-01,54.88,40.53,14.35,553.64
2021-06-02,54.81,40.59,14.22,541.6
2021-06-03,54.81,40.52,14.29,529.87
2021-06-04,54.8,40.56,14.24,516.55
2021-06-05,54.73,40.53,14.21,525.41
2021-06-06,54.6,40.52,14.08,514.86
2021-06-07,54.48,40.69,13.79,571.63
2021-06-08,54.59,40.54,14.05,525.5
