date,rep,dem,margin,weight
2021-04-01,40.47,45.0,-4.54,78.78
2021-04-02,40.46,45.01,-4.55,76.79
2021-04-03,40.45,45.02,-4.57,74.75
2021-04-04,40.45,45.03,-4.58,72.66
2021-04-05,40.44,45.04,-4.6,70.54
2021-04-06,40.44,45.05,-4.62,68.4
2021-04-07,40.43,45.07,-4.63,66.24
2021-04-08,40.58,44.31,-3.73,80.48
2021-04-09,40.58,44.3,-3.72,78.28
2021-04-10,40.59,44.29,-3.71,76.1
2021-04-11,40.59,44.28,-3.69,73.93
2021-04-12,40.43,44.64,-4.21,88.27
2021-04-13,40.43,44.64,-4.21,86.13
2021-04-14,40.75,44.82,-4.07,89.79
2021-04-15,40.76,44.83,-4.07,87.94
2021-04-16,40.78,44.84,-4.06,86.12
2021-04-17,38.97,43.69,-4.72,104.29
2021-04-18,38.97,43.58,-4.61,118.96
2021-04-19,38.96,43.57,-4.61,117.19
2021-04-20,38.95,43.56,-4.61,115.45
2021-04-21,39.51,44.46,-4.95,166.04
2021-04-22,39.51,44.46,-4.95,164.28
2021-04-23,39.5,44.46,-4.96,162.54
2021-04-24,39.69,44.54,-4.85,160.68
2021-04-25,39.69,44.54,-4.85,159.28
2021-04-26,39.69,44.55,-4.86,157.9
2021-04-27,39.69,44.56,-4.86,156.53
2021-04-28,39.65,44.35,-4.7,160.26
2021-04-29,39.65,44.35,-4.71,158.89
2021-04-30,39.65,44.36,-4.71,157.5
2021-05-01,39.65,44.36,-4.72,156.1
2021-05-02,39.65,44.37,-4.72,154.68
2021-05-03,39.65,44.37,-4.72,153.21
2021-05-04,39.65,44.38,-4.73,151.71
2021-05-05,39.65,44.38,-4.73,150.17
2021-05-06,39.65,44.39,-4.74,148.56
2021-05-07,39.65,44.39,-4.74,146.9
2021-05-08,39.65,44.4,-4.75,145.17
2021-05-09,39.75,44.18,-4.43,144.19
2021-05-10,39.75,44.15,-4.4,165.58
2021-05-11,39.75,44.15,-4.4,163.73
2021-05-12,39.85,44.36,-4.51,162.65
2021-05-13,39.85,44.36,-4.51,160.72
2021-05-14,39.85,44.36,-4.52,158.72
2021-05-15,39.85,44.37,-4.52,156.63
2021-05-16,39.85,44.37,-4.52,154.46
2021-05-17,39.85,44.37,-4.52,152.21
2021-05-18,39.64,44.87,-5.23,152.59
2021-05-19,39.69,45.17,-5.48,154.26
2021-05-20,39.7,45.18,-5.49,152.22
2021-05-21,39.71,45.2,-5.5,150.12
2021-05-22,39.71,45.22,-5.51,147.97
2021-05-23,39.72,45.24,-5.52,145.77
2021-05-24,39.73,45.26,-5.53,143.52
2021-05-25,39.95,45.79,-5.84,160.45
2021-05-26,39.67,45.29,-5.62,168.64
2021-05-27,39.67,45.31,-5.63,166.26
2021-05-28,39.68,45.32,-5.64,163.84
2021-05-29,39.69,45.34,-5.65,161.39
2021-05-30,39.69,45.36,-5.66,158.92
2021-05-31,39.7,45.37,-5.68,156.43
2021-06-01,39.7,45.39,-5.69,153.93
2021-06-02,39.46,45.05,-5.59,151.94
2021-06-03,39.46,45.06,-5.6,149.44
2021-06-04,39.46,45.07,-5.61,146.92
2021-06-05,39.46,45.08,-5.62,144.41
2021-06-06,39.25,44.74,-5.49,155.36
2021-06-07,39.24,44.74,-5.5,152.81
2021-06-08,39.24,44.74,-5.51,150.25
2021-06-09,40.17,45.14,-4.98,164.39
2021-06-10,40.17,45.15,-4.98,161.83
2021-06-11,40.24,45.33,-5.09,172.2
2021-06-12,40.25,45.34,-5.09,169.73
2021-06-13,40.25,45.35,-5.1,167.25
2021-06-14,40.26,45.36,-5.1,164.74
2021-06-15,40.26,45.36,-5.1,162.2
2021-06-16,39.92,44.81,-4.88,159.96
2021-06-17,39.92,44.8,-4.88,157.4
2021-06-18,38.99,44.0,-5.02,170.86
2021-06-19,38.96,43.98,-5.02,168.38
2021-06-20,38.94,43.96,-5.02,165.86
2021-06-21,39.04,44.0,-4.96,166.44
2021-06-22,39.61,44.02,-4.41,179.8
2021-06-23,40.04,44.14,-4.1,182.84
2021-06-24,40.04,44.14,-4.1,180.73
2021-06-25,39.86,43.97,-4.11,188.68
2021-06-26,39.86,43.96,-4.1,186.82
2021-06-27,39.86,43.95,-4.1,184.91
