pollster,pollster_rating_id,NCPP/AAPOR/Roper,#_polls,total_weight,correct,poll_WAR,house_bias,weighted_average_error,raw_average_error,weighted_reverted_error,percentile,avg_poll_WAR,house_bias_effect,adj_error,raw_p_m,plus_minus,grade,grade_value,fte_grade,fte_plus_minus
20/20 Insight,1,no,8,3.6657,0.625,-1.7867,1.8113,5.7572,10.1538,0.2898,0.285,-0.1787,0,6.547,0.336,0.3,C/D,0.60,B/C,0.773
A&A Research,2,no,1,0.2959,0,-0.6199,0,5.6474,10.04,0.0968,0.411,-0.0620,0,6.2442,0.137,0.1,B/C,0.90,B/C,0.679
ABC News/The Washington Post,3,yes,82,38.4752,0.7378,1.528,0.7757,3.1281,3.0535,-0.884,0.964,0.0186,0,2.2441,-2.497,-2.5,A,1.20,A+,-0.992
APC Research,4,no,2,1.1313,1,0.3793,-1.0735,5.1785,2.535,-0.2227,0.795,0.0379,0,5.4558,-0.382,-0.4,B/C,0.90,B/C,0.455
ASA Marketing Group,5,no,1,0.3439,1,0.3106,0,5.5144,5.54,-0.0104,0.576,0.0311,0,6.004,-0.021,0.0,B/C,0.90,B/C,0.609
Abacus Associates,6,no,2,0.7644,0.5,-0.4059,0,5.7359,8.06,0.1103,0.401,-0.0406,0,6.3462,0.204,0.2,C/D,0.60,B/C,0.748
Abt Associates,7,yes,10,4.9755,0.9,1.2454,0.2938,4.7885,3.862,0.0015,0.551,0.1245,0,4.79,-0.821,-0.8,B/C,0.90,A/B,-0.223
Alabama State University,8,no,4,0.6344,0.5,-1.2012,0,5.5695,6.385,-0.2269,0.801,-0.1201,0,5.8426,-0.127,-0.1,B/C,0.90,B/C,0.355
American Research Group,9,yes,277,67.8502,0.7509,-24.6217,-0.4658,6.5496,7.5311,0.4563,0.204,-0.0889,0,7.0059,0.639,0.6,C,0.75,C+,0.724
American Viewpoint,10,no,8,3.4129,0.6875,0.2639,-1.7817,5.0167,4.1625,-0.2651,0.832,0.0264,0,5.2516,-0.517,-0.5,B/C,0.90,B/C,0.005
Analytical Group,11,no,1,0.2959,1,0.4405,-1.14,5.4699,4.04,-0.0504,0.622,0.0441,0,5.9195,-0.077,-0.1,B/C,0.90,B/C,0.618
Angus Reid Global,13,no,31,17.087,0.9355,3.5365,0.7263,3.0747,3.1887,-1.0986,0.98,0.1141,0,2.4761,-2.345,-2.3,A,1.20,B+,-0.189
ALG Research,14,no,20,9.6765,0.575,-3.8809,1.039,6.1861,6.311,0.9775,0.068,-0.1940,0.00975,7.67335,1.078,1.1,C/D,0.60,B/C,0.643
Arizona State University,15,no,8,2.5076,1,1.1962,4.3673,6.0385,8.2288,0.4423,0.208,0.1196,0,6.9808,0.622,0.6,C/D,0.60,B/C,0.866
Arthur J. Finkelstein & Associates,16,no,1,0.2785,0,-0.9247,0,5.7406,13.67,0.159,0.36,-0.0925,0,6.3996,0.239,0.2,C/D,0.60,B/C,0.731
Aspen Media & Market Research,17,no,3,1.0962,1,0.4671,0,5.736,7.4567,0.1749,0.348,0.0467,0,6.4109,0.247,0.2,C/D,0.60,B/C,0.595
